file,rows,implementation_use
catalogues/domain_subjects_10000_iso_expanded.csv,10000,load_to_registry_then_project_to_graph_vector_workflow_audit
catalogues/priority_acquisition_points_1000.csv,1000,load_to_registry_then_project_to_graph_vector_workflow_audit
catalogues/source_families_350_expanded.csv,350,load_to_registry_then_project_to_graph_vector_workflow_audit
catalogues/endpoint_candidates_actual_92000.csv,92000,load_to_registry_then_project_to_graph_vector_workflow_audit
catalogues/ocr_document_candidates_30000.csv,30000,load_to_registry_then_project_to_graph_vector_workflow_audit
benchmarks/benchmark_candidates_30000.csv,30000,load_to_registry_then_project_to_graph_vector_workflow_audit
